created_at,city,retweet_count,favorite_count,followers_count,friends_count,listed_count,favorites_count,statuses_count,text,negative,neutral,positive,compound
2020-10-09 21:41:23-06:00,cheyenne,0,0,501,773,3,9947,5929,Fuck ALL Florida teams EXCEPT my Noles!!!,0.422,0.578,0.0,-0.6571
2020-10-09 21:41:15-06:00,cheyenne,3,6,15722,146,419,5112,21296,"High fire danger continues for the highlighted areas Saturday from 12pm-8pm for elevated winds, low humidity values… ",0.361,0.639,0.0,-0.7845
2020-10-09 21:41:08-06:00,cheyenne,1,0,139,123,0,11,779,Im tired of basketball omg,0.42,0.58,0.0,-0.4404
2020-10-09 21:40:52-06:00,cheyenne,0,4,179,99,1,5138,1399,Again DANNY GREEN IS FUCKIN ASS,0.513,0.487,0.0,-0.7398
2020-10-09 21:40:40-06:00,cheyenne,0,0,434,525,16,2581,4538," Sadly, our numbers are going up",0.359,0.641,0.0,-0.4215
2020-10-09 21:40:07-06:00,cheyenne,0,0,139,123,0,11,779,These niggas stink !,0.729,0.271,0.0,-0.6588
2020-10-09 21:39:58-06:00,cheyenne,0,0,0,517,5,105,9742,"Disgrace to the black mamba jerseys, Los Lakers.",0.314,0.686,0.0,-0.4939
2020-10-09 21:39:05-06:00,cheyenne,0,0,139,123,0,11,779,Nigga is ASS,0.679,0.321,0.0,-0.6408
2020-10-09 21:38:51-06:00,cheyenne,0,1,501,773,3,9947,5929, Game 6 sunday.,0.0,1.0,0.0,0.0
2020-10-09 21:38:39-06:00,cheyenne,0,0,0,517,5,105,9742,"Really, Markieff Morris?",0.0,1.0,0.0,0.0
2020-10-09 21:38:04-06:00,cheyenne,0,0,139,123,0,11,779,Girl!,0.0,1.0,0.0,0.0
2020-10-09 21:37:50-06:00,cheyenne,0,0,139,123,0,11,779,BITCHHHHHHHHHHHHHH,0.0,1.0,0.0,0.0
2020-10-09 21:37:49-06:00,cheyenne,0,0,139,123,0,11,779,Yalllll help me !!!!!! ,0.0,0.437,0.563,0.5951
2020-10-09 21:36:55-06:00,cheyenne,0,1,840,1217,1,14786,7986, What platform?,0.0,1.0,0.0,0.0
2020-10-09 21:35:54-06:00,cheyenne,0,0,139,123,0,11,779,END THIS GAME!,0.0,1.0,0.0,0.0
2020-10-09 21:35:41-06:00,cheyenne,0,0,139,123,0,11,779,(jimmy nice),0.0,0.263,0.737,0.4215
2020-10-09 21:35:03-06:00,cheyenne,0,0,2,117,0,3341,1428," What's  wrong  , cant talk with trumpballs in your mouth???",0.288,0.712,0.0,-0.5632
2020-10-09 21:34:40-06:00,cheyenne,0,0,139,123,0,11,779,My GOD!,0.0,0.242,0.758,0.481
2020-10-09 21:34:26-06:00,cheyenne,0,0,501,773,3,9947,5929,LETS FINISH THIS! #LakeShow #LakerNation,0.0,1.0,0.0,0.0
